# k[h/Mpc]   P_delta,delta   P_delta,theta   P_theta,theta 
1.4478481291418833e-05   70.04717844781614    70.04717814666336   70.04717784553787
1.4592934991319475e-05   70.57866957357805    70.57866926532381   70.57866895709775
1.4708293458036285e-05   71.11419327810117    71.11419296257799   71.11419264708388
1.4824563843832509e-05   71.65378015242818    71.65377982946467   71.65377950653115
1.4941753357510684e-05   72.19746101959383    72.19746068901453   72.19746035846619
1.505986926485958e-05   72.74526693638343    72.74526659800877   72.74526625966605
1.5178918889104681e-05   73.29722919510534    73.29722884875147   73.2972285024306
1.5298909611362233e-05   73.85337932537549    73.85337897085427   73.85337861636707
1.5419848871096864e-05   74.41374909591607    74.4137487330349   74.41374837018886
1.554174416658285e-05   74.97837051636962    74.97837014493138   74.97836977352938
1.5664603055368993e-05   75.54727583912381    75.5472754589267   75.547275078767
1.5788433154747197e-05   76.12049756325072    76.12049717408821   76.12049678496429
1.5913242142224757e-05   76.69806845171244    76.6980680533731   76.69806765507361
1.603903775600035e-05   77.28002152497055    77.28002111723801   77.28002070954659
1.616582779544381e-05   77.86639005460125    77.86638963725397   77.86638921994916
1.6293620121579685e-05   78.45720756514935    78.45720713796064   78.45720671081571
1.642242265757465e-05   79.05250783605696    79.05250739879472   79.05250696157768
1.6552243389228707e-05   79.65232490360461    79.65232445603134   79.65232400850469
1.6683090365470338e-05   80.25669306286824    80.25669260474078   80.25669214666142
1.6814971698855526e-05   80.86564686969322    80.86564640076267   80.86564593188176
1.694789556607075e-05   81.47922114267782    81.47922066268943   81.47922018275229
1.7081870208439915e-05   82.09745096517905    82.09745047387207   82.09744998261799
1.721690393243535e-05   82.72037168732685    82.72037118443441   82.72037068159653
1.7353005110192788e-05   83.34801892800363    83.3480184132525   83.34801789855767
1.7490182180030458e-05   83.98042856065149    83.98042803376204   83.9804275069307
1.7628443646972245e-05   84.61763669216889    84.61763615285487   84.61763561360083
1.776779808327502e-05   85.25967969706899    85.25967914503742   85.25967859306775
1.790825412896012e-05   85.90659422506907    85.90659366002008   85.90659309503495
1.8049820492349023e-05   86.55841720316272    86.55841662478932   86.55841604648181
1.819250595060328e-05   87.21518583771496    87.21518524570295   87.21518465375897
1.8336319350268694e-05   87.87693761656898    87.87693701059676   87.87693640469473
1.8481269607823803e-05   88.54371031116825    88.54370969090662   88.54370907071743
1.8627365710232723e-05   89.2155419786973    89.21554134380929   89.21554070899604
1.8774616715502322e-05   89.8924709642347    89.89247031437543   89.8924696645933
1.8923031753243835e-05   90.57453590292663    90.57453523774302   90.57453457263904
1.907262002523889e-05   91.26177572217323    91.26177504130398   91.26177436051685
1.922339080601004e-05   91.95422964526512    91.95422894834029   91.95422825150027
1.9375353443395763e-05   92.65193721478359    92.65193650142459   92.65193578815312
1.952851735913005e-05   93.35493829098463    93.35493756080395   93.35493683071358
1.9682892049426547e-05   94.06327303708446    94.06327228968544   94.06327154237961
1.9838487085567313e-05   94.77698192107037    94.77698115604696   94.77698039111972
1.9995312114496287e-05   95.49610571801648    95.49610493495308   95.49610415198894
2.015337685941733e-05   96.22068551241219    96.22068471088339   96.22068390945704
2.0312691120397136e-05   96.95076270051081    96.9507618800812   96.95076105975733
2.0473264774972792e-05   97.68637899269818    97.68637815292206   97.68637731325506
2.0635107778764217e-05   98.42757641587546    98.42757555629666   98.42757469683043
2.0798230166091393e-05   99.17439731586015    99.17439643601165   99.17439555627932
2.0962642050596517e-05   99.92688435981022    99.92688345921404   99.92688255873777
2.112835362587103e-05   100.68508053866002    100.68507961682693   100.68507869511761
2.1295375166087634e-05   101.44902917265198    101.4490282290812   101.44902728563811
2.14637170266373e-05   102.21877392323002    102.21877295740894   102.21877199171966
2.1633389644771293e-05   102.9943587866443    102.99435779804824   102.99435680958823
2.1804403540248292e-05   103.7758280934401    103.77582708153203   103.7758260697643
2.1976769315986604e-05   104.56322651100406    104.56322547523425   104.56322443960929
2.2150497658721588e-05   105.3565990461223    105.35659798592806   105.3565969258833
2.232559933966818e-05   106.15599104757149    106.15598996237689   106.15598887733653
2.2502085215188756e-05   106.9614482087134    106.96144709792887   106.96144598730353
2.2679966227466222e-05   107.77301657012163    107.77301543314375   107.77301429633017
2.285925340518241e-05   108.59074252222429    108.59074135843538   108.59074019481601
2.303995786420189e-05   109.4146728079645    109.41467161673236   109.4146704256752
2.3222090808261134e-05   110.24485452548458    110.24485330616203   110.24485208702006
2.340566352966317e-05   111.08133512997341    111.08133388189809   111.08133263400913
2.3590687409977694e-05   111.92416240565458    111.92416112814844   111.92415985083463
2.377717392074673e-05   112.77338445891878    112.77338315128786   112.77338184385538
2.3965134624195887e-05   113.62904975746949    113.62904841900335   113.62904708074205
2.4154581173951205e-05   114.491207135589    114.49120576556057   114.49120439574351
2.434552531576169e-05   115.35990579690254    115.35990439456752   115.35990299245064
2.4537978888227555e-05   116.23519531716201    116.2351938817586   116.2351924465803
2.4731953823534198e-05   117.11712564705235    117.11712417780073   117.11712270878141
2.492746214819205e-05   118.0057471150167    118.00574561111874   118.00574410746053
2.512451598378217e-05   118.90111043010583    118.9011088907445   118.9011073516306
2.53231275477078e-05   119.80326668484567    119.80326510918476   119.80326353377919
2.552330915395188e-05   120.71226735813039    120.71226574531393   120.71226413276095
2.5725073213840476e-05   121.62816431813047    121.62816266728225   121.62816101670596
2.5928432236812314e-05   122.5510098330173    122.55100814324052   122.55100645374439
