# Cosmological parameters
# z 0.0
# name demnunii
# H0 67.0
# Omega_k 0.0
# Omega_b 0.04999999999999999
# Omega_c 0.26999999999999996
# Omega_m 0.31999999999999995
# Omega_de 0.6799068075447904
# Omega_nu 0.0
# N_eff 3.046
# mass_neutrinos 0.0
# n_s 0.96
# A_s 2.21265e-09
# H_z 67.0
# D_A 0.0
# D_M 0.0
# D_H 4474.514298507463
# D_V 0.0
# r_drag 146.71804187203688
# DM_rd 0.0
# DH_rd 30.497369249311554
# DV_rd 0.0
# sigma8 0.8464806009326422
# fsigma8 0.4501495921255273
# f 0.5317896141146742
# 
# k[h/Mpc]  P_lin(k)[Mpc^3/h^3]
2.506107611128845e-05    118.77499567640817
2.5173708087379422e-05    119.28739135501255
2.5286846265278392e-05    119.8019973125093
2.5400492920007793e-05    120.31882308084991
2.5514650336814664e-05    120.83787823307468
2.562932081121664e-05    121.35917238349184
2.5744506649048103e-05    121.88271518785488
2.5860210166506526e-05    122.4085163440214
2.5976433690199082e-05    122.93658559453334
2.609317955718942e-05    123.46693272503295
2.6210450115044624e-05    123.99956756340687
2.6328247721882483e-05    124.53449997996503
2.6446574746418847e-05    125.07173988762413
2.6565433568015295e-05    125.6112972420913
2.6684826576726967e-05    126.15318204204999
2.680475617335062e-05    126.69740432934546
2.692522476947292e-05    127.24397418916999
2.7046234787518923e-05    127.792901750252
2.7167788660800778e-05    128.34419718504256
2.7289888833566677e-05    128.89787070990414
2.7412537761050003e-05    129.4539325853033
2.7535737909518672e-05    130.01239311599625
2.7659491756324752e-05    130.57326265122518
2.7783801789954296e-05    131.13655158490687
2.790867051007732e-05    131.7022703558271
2.8034100427598132e-05    132.2704294478358
2.816009406470579e-05    132.84103939003896
2.8286653954924815e-05    133.41411075699608
2.8413782643166154e-05    133.98965416891514
2.8541482685778354e-05    134.56768029127932
2.8669756650598933e-05    135.14819983082165
2.8798607117006063e-05    135.7312235380565
2.8928036675970405e-05    136.31676220978648
2.9058047930107215e-05    136.90482668932594
2.9188643493728666e-05    137.49542786669275
2.9319825992896475e-05    138.08857667881858
2.945159806547463e-05    138.68428410974124
2.9583962361182468e-05    139.28256119081541
2.9716921541647982e-05    139.88341900090907
2.9850478280461304e-05    140.4868686666158
2.9984635263228468e-05    141.09292136245085
3.0119395187625453e-05    141.70158831106554
3.0254760763452382e-05    142.31288078344932
3.0390734712688033e-05    142.92681009914088
3.052731976954457e-05    143.54338762643425
3.066451868052254e-05    144.16262478258813
3.080233420446605e-05    144.78453303404004
3.094076911261833e-05    145.40912389661582
3.1079826188677366e-05    146.03640893574047
3.121950822885191e-05    146.66639976665567
3.135981804191776e-05    147.29910805462836
